Baby_laugh01,Baby_laugh02,Baby_laugh03,Baby_laugh04,Baby_laugh05,Baby_laugh06,Baby_laugh07,Baby_laugh08,Baby_laugh09,Baby_laugh10,Baby_laugh11,Baby_laugh12,Baby_laugh13,Baby_laugh14,Baby_laugh15,Baby_laugh16,Baby_laugh17,Baby_laugh18
0,0,0,98,98,0,0,0,0,0,132,56,169,152,0,110,0,150
0,0,135,98,98,0,165,0,0,0,132,56,169,152,67,110,0,150
0,0,0,98,98,0,165,0,0,0,0,56,169,152,67,110,0,150
0,0,0,98,98,0,0,0,0,0,132,56,169,152,0,110,0,150
0,0,0,98,98,0,165,0,0,0,132,56,169,152,0,0,173,149
0,0,0,0,0,0,165,0,0,0,132,56,169,152,67,110,173,149
0,0,0,0,0,0,165,0,0,0,132,56,169,152,0,110,173,149
0,0,0,0,0,0,165,0,0,0,0,145,169,152,0,110,173,150
0,0,0,0,0,0,165,0,0,0,0,145,169,51,0,110,0,150
0,0,0,0,0,0,165,0,0,0,0,145,169,51,0,110,0,0
0,0,135,0,0,0,0,0,123,0,0,145,169,51,0,110,0,0
0,0,135,0,0,0,0,0,0,0,132,145,169,51,0,110,0,0
0,0,0,0,0,0,165,130,123,0,0,145,169,51,0,110,173,0
0,0,0,0,0,0,165,0,123,0,0,145,169,51,0,110,0,0
0,0,0,0,0,0,165,0,123,0,132,145,169,51,0,110,173,0
0,0,0,0,0,0,165,0,0,0,132,145,169,51,0,110,173,150
0,0,0,0,0,0,165,0,0,0,132,145,169,51,0,110,173,150
0,0,0,98,98,0,165,0,0,0,132,145,169,51,0,110,0,150
0,0,135,98,98,0,165,130,123,0,132,145,169,51,0,110,0,150
0,0,135,98,98,0,165,130,123,0,132,145,169,51,0,110,0,0
0,0,135,98,98,0,0,130,123,0,132,145,169,51,0,110,0,150
0,0,0,0,0,0,0,0,123,0,132,145,169,51,67,110,0,150
0,0,0,0,0,0,0,130,0,0,132,145,169,51,67,110,0,150
0,0,0,0,0,0,0,0,123,0,0,145,169,51,67,110,0,150
0,0,0,98,98,0,0,0,123,0,0,145,169,51,67,110,0,150
141,138,135,98,98,192,165,130,123,138,133,145,169,51,67,110,173,150
