Baby_cry01,Baby_cry02,Baby_cry03,Baby_cry04,Baby_cry05,Baby_cry06,Baby_cry07,Baby_cry08,Baby_cry09,Baby_cry10,Baby_cry11,Baby_cry12,Baby_cry13,Baby_cry14,Baby_cry15,Baby_cry16,Baby_cry17,Baby_cry18,Baby_cry19,Baby_cry20,Baby_cry21
0,0,0,0,61,61,0,0,75,108,66,61,41,125,94,0,101,100,0,127,168
0,0,0,0,61,61,0,0,76,108,66,61,41,125,94,0,101,100,0,127,168
0,0,79,0,0,0,0,0,77,108,66,61,41,126,94,0,101,100,0,127,169
0,0,79,0,61,61,0,0,77,108,65,61,41,126,94,0,101,100,0,127,168
0,0,79,0,0,0,0,0,77,108,0,61,41,126,94,0,101,100,0,127,169
0,0,79,0,0,0,0,0,77,108,65,61,41,126,94,0,101,100,0,127,169
0,0,79,0,61,61,0,0,77,108,65,61,41,126,94,0,101,100,0,127,169
0,0,79,0,61,61,0,0,78,108,65,61,41,126,0,0,102,100,0,127,169
0,0,79,0,61,61,0,0,78,108,65,61,41,126,94,0,102,100,0,127,169
0,0,79,0,61,61,0,0,40,108,65,61,41,126,94,0,102,100,0,127,169
0,0,79,0,58,58,0,0,40,108,65,61,41,126,94,0,102,100,0,127,169
0,0,79,0,58,58,0,0,40,108,65,61,41,126,94,0,102,100,0,127,169
0,0,79,0,58,58,0,0,40,108,65,62,41,126,94,0,102,100,0,127,169
0,0,79,0,58,58,0,0,40,108,0,62,41,126,94,0,102,100,0,127,0
100,0,79,0,58,58,0,0,40,108,0,62,41,128,94,0,102,100,0,127,169
100,0,79,0,58,58,0,0,40,108,0,62,41,128,94,0,102,100,0,127,169
100,0,79,0,57,57,0,0,40,108,0,62,41,129,94,0,102,100,0,127,169
100,0,79,0,57,57,0,0,40,108,0,63,41,129,94,0,0,100,0,127,169
100,0,79,0,57,57,0,0,40,108,0,127,41,129,94,0,102,100,0,127,169
101,0,79,0,150,150,0,0,40,108,65,127,82,129,94,0,102,100,0,127,169
101,0,79,0,150,150,0,0,40,108,65,127,82,129,94,0,102,100,0,127,169
101,0,79,0,150,150,0,0,40,108,65,127,82,130,94,0,102,100,0,127,169
101,0,79,0,150,150,0,0,40,108,65,127,82,130,94,0,102,100,0,0,169
102,0,79,0,150,150,0,0,40,0,65,127,82,129,94,210,102,100,0,127,169
102,0,0,0,150,150,0,0,40,0,65,127,82,129,94,210,102,100,0,127,169
102,0,0,0,150,150,0,0,40,0,65,127,82,131,94,210,0,100,0,127,169
0,0,0,0,150,150,0,0,40,0,65,127,41,132,94,210,0,100,0,127,169
0,0,79,0,150,150,0,0,40,0,65,127,41,132,94,210,0,100,0,127,169
0,0,79,0,150,150,0,0,40,108,65,127,41,132,94,210,102,100,0,127,169
0,0,79,0,75,75,0,0,40,0,65,127,41,132,94,210,102,100,0,127,169
0,0,79,0,75,75,0,0,40,0,65,127,41,132,94,211,102,100,0,127,169
0,0,79,0,75,75,0,0,40,108,65,127,41,132,94,211,102,100,0,0,169
0,0,79,0,76,76,0,0,40,108,65,0,41,132,94,211,0,100,0,127,169
0,0,79,0,76,76,0,0,40,108,65,127,41,132,94,211,0,100,0,127,169
0,0,79,0,76,76,0,0,40,108,137,127,41,132,94,211,102,100,0,127,169
0,0,0,0,76,76,0,0,40,108,137,127,41,132,94,211,102,100,0,0,169
0,0,79,0,76,76,0,0,40,108,137,127,41,132,94,211,102,100,0,0,169
102,0,0,0,76,76,0,0,40,0,137,127,41,132,94,211,102,100,0,0,169
102,0,0,0,76,76,0,0,40,108,137,127,40,133,94,211,102,100,0,0,169
102,0,0,0,76,76,0,0,40,108,137,127,40,133,99,211,102,100,0,0,0
102,0,0,0,76,76,0,0,40,0,137,127,40,133,99,211,101,100,0,0,0
0,0,0,0,76,76,0,0,40,0,137,127,40,133,99,211,101,100,0,0,0
102,0,79,0,76,76,0,0,40,0,137,127,40,133,99,211,101,100,0,0,0
102,0,79,0,76,76,0,0,40,0,137,127,40,133,100,211,101,100,0,127,0
102,0,79,0,76,76,0,0,40,108,137,127,40,133,100,211,101,100,0,127,0
0,0,79,0,76,76,0,0,40,108,137,127,40,133,100,211,101,108,0,0,0
0,0,79,0,76,76,0,0,40,108,137,127,40,0,100,211,101,108,0,0,0
0,0,79,0,76,76,0,0,40,108,137,127,40,133,100,211,101,108,0,0,169
0,0,79,0,76,76,0,0,40,0,137,127,40,0,99,211,101,108,0,0,0
0,0,79,0,76,76,0,0,40,0,137,127,40,133,0,211,102,108,0,0,169
0,0,79,0,76,76,0,0,40,108,137,127,40,0,99,211,102,108,0,0,0
0,0,79,0,0,0,0,0,40,108,137,127,40,0,99,211,102,108,0,0,0
0,0,0,0,76,76,0,0,40,108,137,127,40,0,99,0,102,108,0,0,169
0,43,0,0,76,76,0,0,40,108,137,127,40,133,99,211,102,108,0,0,0
0,43,79,0,76,76,0,0,40,108,137,127,40,0,0,0,102,108,0,0,0
0,43,79,0,76,76,0,0,40,108,137,127,40,133,99,0,102,110,0,0,0
0,43,79,0,76,76,0,0,40,108,137,127,40,0,0,0,102,110,0,0,0
0,43,79,0,76,76,0,0,40,108,137,127,40,0,0,0,102,111,0,127,169
0,43,79,0,76,76,0,0,40,108,137,420,40,0,0,0,102,111,0,0,169
0,43,0,0,76,76,0,0,40,108,137,420,40,0,99,0,102,111,0,0,169
0,45,79,0,76,76,0,0,40,108,137,420,40,0,99,0,102,111,0,0,169
0,45,79,0,76,76,0,0,40,108,0,420,40,133,99,0,102,111,0,0,169
0,45,79,0,76,76,0,0,40,108,137,420,40,0,99,211,102,111,0,0,169
0,45,79,0,76,76,0,0,40,0,137,420,40,0,99,106,102,111,0,0,169
0,45,79,0,76,76,0,0,40,0,137,420,40,0,99,0,102,111,0,0,169
0,45,79,0,76,76,0,0,40,0,137,420,40,0,99,106,102,111,0,0,169
0,45,79,0,76,76,0,0,40,108,137,420,40,0,99,106,102,111,0,0,169
0,45,79,0,76,76,0,0,40,108,137,420,40,0,99,0,103,111,0,0,169
0,45,79,0,76,76,0,0,40,108,137,420,40,0,99,0,103,111,0,127,0
0,45,79,0,76,76,0,0,40,108,137,420,40,0,99,0,103,111,0,127,169
0,45,79,0,76,76,0,0,40,0,137,420,40,0,99,106,103,111,0,127,0
0,45,79,0,76,76,0,0,40,0,137,420,40,0,99,0,103,111,0,127,0
0,45,79,0,0,0,0,0,40,108,137,420,40,0,99,0,103,111,0,127,0
0,46,79,0,0,0,0,0,40,0,137,420,40,0,99,0,103,111,0,127,169
0,46,80,0,0,0,0,0,40,0,137,420,40,0,99,0,103,111,0,127,169
102,0,80,0,0,0,0,0,40,0,137,420,40,0,99,0,103,111,0,0,169
0,0,80,0,76,76,0,0,40,0,137,420,40,0,99,0,103,111,0,127,169
0,0,80,0,76,76,0,0,40,0,0,420,40,0,99,106,103,111,0,0,169
0,46,80,0,76,76,0,0,40,0,137,420,40,0,99,0,103,111,0,0,169
0,0,80,0,76,76,0,0,40,0,137,420,40,0,99,106,103,111,0,0,169
0,46,80,0,76,76,0,0,40,0,137,420,40,0,99,106,103,111,0,0,169
102,46,80,0,76,76,0,0,40,0,137,420,40,0,99,0,103,111,0,0,169
102,46,80,0,76,76,0,0,40,0,137,420,40,0,99,106,103,111,0,0,148
0,46,80,0,86,86,0,0,40,0,137,420,40,0,99,106,103,111,0,0,148
0,46,80,0,86,86,0,0,40,108,137,420,40,0,99,106,103,111,0,127,150
0,46,80,0,0,0,0,0,40,108,137,420,40,0,99,0,103,111,0,0,77
0,46,80,0,86,86,0,0,40,108,137,420,40,0,99,0,99,111,0,0,77
0,46,80,0,86,86,0,0,40,108,137,420,40,0,99,106,99,111,0,0,77
0,46,83,0,86,86,0,0,40,108,137,420,40,0,99,0,99,111,0,0,77
0,46,83,0,86,86,0,0,40,108,137,420,40,0,99,0,99,111,0,0,77
0,46,83,0,86,86,0,0,40,0,137,420,40,0,99,0,99,111,0,0,77
0,46,83,0,86,86,0,0,40,0,137,420,40,0,99,0,99,111,0,0,77
0,0,83,0,86,86,0,0,40,0,0,420,40,0,99,0,99,111,0,0,77
0,46,83,0,86,86,0,0,40,0,137,420,40,0,99,0,99,111,0,127,77
0,46,83,0,86,86,0,0,40,0,137,0,40,0,99,0,99,111,0,127,77
0,46,83,0,86,86,0,0,40,0,137,420,40,0,99,0,99,111,0,127,77
0,46,83,0,86,86,0,0,40,0,137,420,40,0,99,0,100,111,0,127,77
0,46,83,0,86,86,0,0,40,0,137,420,40,133,99,0,100,111,0,127,79
0,46,83,0,86,86,0,0,40,0,137,0,40,133,99,0,100,111,0,0,79
0,46,83,0,86,86,0,0,40,0,137,420,40,133,99,0,100,111,0,0,79
0,46,83,0,86,86,0,0,40,0,137,0,40,133,99,0,100,111,0,0,79
0,46,83,0,86,86,0,0,40,0,137,0,40,133,99,0,100,111,0,0,79
102,46,83,0,86,86,0,0,40,0,137,0,40,133,0,0,100,111,0,127,79
102,46,83,0,86,86,0,0,40,0,137,0,40,0,0,0,100,111,0,0,79
0,46,83,0,86,86,0,0,40,0,137,0,40,0,0,0,100,111,0,127,79
0,46,83,0,86,86,0,0,40,0,137,0,40,0,99,0,100,111,0,0,79
0,46,83,0,86,86,0,0,40,0,0,0,40,0,108,0,100,111,0,0,79
0,46,83,0,102,102,0,0,40,0,137,420,40,0,108,106,100,111,0,0,80
0,46,83,0,102,102,0,0,40,0,0,0,40,0,108,0,100,111,0,0,80
0,0,83,0,102,102,0,0,40,0,0,0,40,0,108,0,100,111,0,0,82
0,46,83,0,101,101,0,0,40,0,0,0,40,0,108,0,100,111,0,0,82
0,0,83,0,101,101,0,0,40,0,137,0,40,0,108,0,100,111,0,0,82
0,0,83,0,101,101,0,0,40,0,137,0,40,0,108,0,100,111,0,127,82
0,0,83,0,101,101,0,0,40,0,137,0,40,0,108,106,0,111,0,0,82
0,0,83,0,101,101,0,0,40,0,137,0,40,0,108,106,0,111,0,0,83
0,46,83,0,0,0,0,0,40,0,137,0,40,0,108,106,0,111,0,0,83
0,46,83,0,101,101,0,0,40,0,137,0,40,0,108,106,0,111,0,0,83
0,0,83,0,101,101,0,0,40,0,137,0,40,0,108,106,0,111,0,0,81
0,0,83,0,101,101,0,0,40,0,137,0,40,0,108,106,0,111,0,0,84
102,46,83,0,101,101,0,0,40,108,137,420,40,133,108,106,100,111,0,127,81
102,46,83,0,101,101,0,0,40,108,137,127,40,133,108,106,100,111,0,127,81
102,46,83,0,101,101,107,41,40,108,137,127,40,133,108,106,100,111,0,127,81
