T,File.Name,Min,1Q,Median,Mean,3Q,Max,Length
160,Adultfemale_laugh06.csv,111.1,330.7,340.6,342.1,355.6,418.3,181
161,Adultfemale_laugh07.csv,83.98,431.1,502.8,520.7,515.6,1059,148
162,Adultfemale_laugh07.csv,104.6,173.7,374.2,312.9,427.7,522.5,41
163,Adultfemale_laugh07.csv,46.88,272.9,647.1,690.1,665.4,2007,86
164,Adultfemale_laugh08.csv,117.6,400.1,543.7,767.7,794.6,3808,258
165,Adultfemale_laugh09.csv,108.4,240.9,301.9,513.6,349,2904,188
166,Adultfemale_laugh10.csv,99.35,342.1,515.1,896.3,564.1,3903,269
167,Adultfemale_laugh11.csv,211.6,377,627.8,1007,1075,3955,79
168,Adultfemale_laugh11.csv,99.1,311.7,1012,1184,1092,4175,192
169,Adultfemale_laugh12.csv,120.6,493.3,988.8,1995,3835,4048,154
170,Adultfemale_laugh12.csv,158.9,158.9,158.9,158.9,158.9,158.9,1
171,Adultfemale_laugh12.csv,247.7,444,640.2,511.8,643.9,647.5,3
172,Adultfemale_laugh12.csv,115,362.6,674.8,769.1,1050,1611,52
173,Adultfemale_laugh12.csv,484.9,637.2,789.6,789.6,941.9,1094,2
174,Adultfemale_laugh12.csv,109.4,430.6,655.2,731.8,1142,1311,6
175,Adultfemale_laugh12.csv,257.7,357.4,359.3,356.1,359.7,446.3,5
176,Adultfemale_laugh12.csv,88.4,294.4,386.9,667.3,1326,1584,36
177,Adultfemale_laugh13.csv,86.39,263.8,390.7,1223,2630,3156,157
178,Adultfemale_laugh13.csv,94.31,344.7,385,429.4,571.5,753.8,119
179,Adultfemale_laugh14.csv,116.3,469.4,492.2,487,519.2,1428,261
180,Adultfemale_laugh14.csv,112.1,122.1,174.9,810.9,1997,2051,14
181,Adultfemale_laugh15.csv,128,520.1,645.1,924.5,1115,3513,242
182,Adultfemale_laugh15.csv,950.8,950.8,950.8,950.8,950.8,950.8,1
183,Adultfemale_laugh15.csv,154.2,297.2,1142,929.8,1637,1669,19
184,Adultfemale_laugh15.csv,298.9,298.9,298.9,298.9,298.9,298.9,1
